Q2,Q3,Q21,Finished
Faculty,Department,Would like to sign up to rse-announce,Finished
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Architecture,***REMOVED***,True
Faculty of Engineering,Biomedical Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Chemical and Process Engineering,***REMOVED***,True
Faculty of Engineering,Civil and Environmental Engineering,***REMOVED***,True
Faculty of Engineering,Civil and Environmental Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Electronic and Electrical Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,Mechanical and Aerospace Engineering,***REMOVED***,True
Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering",***REMOVED***,True
Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering",***REMOVED***,True
Faculty of Engineering,"Naval Architecture, Ocean and Marine Engineering",***REMOVED***,True
Faculty of Humanities and Social Sciences,Psychological Sciences and Health,***REMOVED***,True
Faculty of Humanities and Social Sciences,Psychological Sciences and Health,***REMOVED***,True
Faculty of Science,Computer and Information Sciences,***REMOVED***,True
Faculty of Science,Computer and Information Sciences,***REMOVED***,True
Faculty of Science,Mathematics and Statistics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Physics,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Pure and Applied Chemistry,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
Faculty of Science,Strathclyde Institute of Pharmacy and Biomedical Sciences,***REMOVED***,True
